id;frase;
1;®Mi primer nombre?... ®mi primer nombre?... Bueno, cuando estoy confundido siempre veo mi ropa interior. Aqu° est† la respuesta a todas las preguntas importantes... Me llamo Abraham.  Abuelo Abraham J. Simpson;
2;Dicen que la mayor tragedia para un padre es que su hijo muera. Yo nunca he entendido por quÇ lo dicen, francamente yo le ver°a el lado positivo.  Abuelo Abraham J. Simpson;
3;Homero, no me arrepiento de haberte tenido, y siempre estuve orgulloso... de que no fueras un enano.  Abuelo Abraham J. Simpson;
4;Yo soy un viejo, odio todo menos mi programa de entrevistas.  Abuelo Abraham J. Simpson;
5;Casi todo es pecado. ®Te has puesto a leer la Biblia con calma? TÇcnicamente es pecado ir al ba§o.  Reverendo Alegr°a;
6;Si alg£n d°a dejo de amar la violencia, dame un balazo.  Bart Simpson;
7;Lisa, tu tienes la inteligencia para llegar hasta donde quieras. Y cuando llegues, yo estarÇ contigo para pedirte prestado.  Bart Simpson;
8;No te prometo que lo intentarÇ, pero intentarÇ intentarlo.  Bart Simpson;
9;≠Multipl°cate por cero!  Bart Simpson;
10;Ella es como un paquete de leche pasada. Dulce por fuera, venenosa por dentro.  Bart Simpson;
11;Por lo menos ya evolucionamos y ahora veneramos a un carpintero de hace 2000 a§os.  Bart Simpson;
12;No lo sÇ, no sÇ por quÇ lo hice, no sÇ por quÇ me divert°, y no sÇ por quÇ volver°a a hacerlo...  Bart Simpson;
13;Querido Dios, nosotros pagamos por todo esto, as° que gracias por nada.  Bart Simpson;
14;Si yo hice algo malo y nadie me atrap¢, ®eso me hace bueno?  Bart Simpson;
15;≠Maldita TV! ≠Arruin¢ mi imaginaci¢n y mi habilidad para umm... bueno... uh... tu sabes.  Bart Simpson;
16;Maestra, si uno es muy bueno pero tiene una tremenda pelea y contrae gangrena en la pierna y tienen que amputarla, ®la pierna espera en el cielo?.  Bart Simpson;
17;Ah, morir no es tan malo, volverÇ a ver a mis antepasados: a pap†, a la planta que nunca reguÇ..  Barney G¢mez;
18;Oiga, ®puedo vomitar en su ba§o? Prometo comprarle algo.  Barney G¢mez;
19;Whoah, alguien huele agrio... ≠oh, soy yo!  Barney G¢mez;
20;Dicen que el alcohol borra la memoria... de lo dem†s no me acuerdo.  Barney G¢mez;
